Accession1,Accession2,Similarity_Score
P11511,P11715,0.07
P11511,P08516,0.08
P11511,P05181,0.09
P11511,P04799,0.05
P11511,P05177,0.06
P11511,P20852,0.07
P11511,Q16678,0.05
P11511,P14779,0.07
P11511,P15150,0.06
P11511,P05093,0.07
P11511,P00185,0.07
P11511,P13108,0.07
P11511,P05182,0.07
P11511,P15538,0.06
P11511,P30099,0.07
P11511,P18125,0.05
P11511,O43174,0.07
P11511,Q64654,0.07
P11511,O15528,0.07
P11511,P15393,0.07
P11511,P50859,0.07
P11511,P11509,0.07
P11511,Q43054,0.07
P11511,P78329,0.09
P11511,P20813,0.07
P11511,P51589,0.07
P11511,P08684,0.07
P11511,P20817,0.08
P11511,P24557,0.07
P04584,Q72497,0.18
P04584,P03367,0.57
P04584,P03369,0.56
P04584,Q72874,0.03
P04584,Q7ZJM1,0.12
P04584,P04587,0.57
P04584,Q88016,0.59
P04584,Q9Q2G8,0.03
P04584,P12497,0.56
P04584,P35963,0.57
P04584,Q8Q3H0,0.03
P04584,P03355,0.03
P04584,O90777,0.04
P04584,P03366,0.57
P04584,P04585,0.56
P04584,P05896,0.85
P04584,O93182,0.17
P04584,P03371,0.16
P04584,Q72547,0.24
P04584,P03354,0.07
P04584,Q04095,0.07
P04584,P16088,0.16
P04584,P12499,0.56
P08686,Q04468,0.14
P08686,Q02318,0.1
P08686,P04798,0.19
P08686,Q09128,0.09
P08686,P10611,0.1
P08686,P11511,0.07
P08686,P22443,0.07
P08686,Q16850,0.07
P08686,P49430,0.1
P08686,P14137,0.09
P08686,Q02928,0.09
P08686,P20815,0.11
P08686,P53554,0.06
P08686,Q9FH76,0.08
P08686,P11712,0.17
P08686,P49264,0.14
P08686,P33261,0.17
P08686,Q07973,0.09
P08686,P10632,0.18
P08686,P33260,0.16
P08686,Q00441,0.05
P08686,P05108,0.07
P08686,P08683,0.17
P08686,P19099,0.07
P08686,Q746J6,0.06
P08686,P11715,0.23
P08686,P10635,0.18
P08686,P08516,0.1
P08686,P05181,0.18
P08686,P05177,0.17
P08686,P20852,0.17
P08686,P04799,0.16
P08686,P14779,0.07
P08686,Q16678,0.16
P08686,P15150,0.08
P08686,P00185,0.19
P08686,P13108,0.2
P08686,P05093,0.25
P08686,P05182,0.19
P08686,P10614,0.07
P08686,P15538,0.07
P08686,P30099,0.08
P08686,P18125,0.05
P08686,Q64654,0.07
P08686,O43174,0.08
P08686,O15528,0.1
P08686,P15393,0.08
P08686,P50859,0.07
P08686,P11509,0.17
P08686,Q43054,0.15
P08686,P10613,0.08
P08686,P20813,0.17
P08686,P78329,0.1
P08686,P51589,0.21
P08686,P20817,0.1
P08686,P08684,0.11
P08686,Q7Z1V1,0.05
P08686,P24557,0.08
P19687,O60266,0.09
P19687,P26769,0.09
P19687,Q04400,0.08
P19687,P94182,0.04
P19687,P51828,0.08
P19687,P19754,0.09
P19687,O32393,0.04
P19687,P40145,0.08
P19687,P21932,0.08
P19687,P16068,0.21
P19687,Q08828,0.09
P19687,P20594,0.13
P19687,O43306,0.08
P19687,P26770,0.09
P19687,P25092,0.11
P19687,O95622,0.08
P19687,Q08462,0.09
P19687,Q02108,0.86
P19687,Q02153,0.21
P19687,P33402,0.42
P19687,P40146,0.08
P19687,P16066,0.13
P19687,O60503,0.07
P19687,O75343,0.19
P19687,Q03343,0.08
Q9UBX1,Q02765,0.14
Q9UBX1,O60911,0.18
Q9UBX1,P00787,0.08
Q9UBX1,P00784,0.16
Q9UBX1,P07688,0.07
Q9UBX1,P25774,0.15
Q9UBX1,P55097,0.17
Q9UBX1,P53634,0.12
Q9UBX1,Q3ZCJ8,0.12
Q9UBX1,P25975,0.19
Q9UBX1,P07711,0.18
Q9UBX1,Q9UBR2,0.06
Q9UBX1,P25805,0.13
Q9UBX1,P07154,0.2
Q9UBX1,O70370,0.15
Q9UBX1,Q3ZKN1,0.16
Q9UBX1,P43236,0.16
Q9UBX1,P10605,0.08
Q9UBX1,O35186,0.17
Q9UBX1,P25779,0.24
Q9UBX1,P43235,0.16
Q9UBX1,P07858,0.08
Q9UBX1,P09668,0.18
Q9UBX1,P06797,0.2
Q9NWM0,Q8C0L6,0.31
Q9NWM0,Q96RQ9,0.04
Q9NWM0,O64411,0.08
Q9NWM0,O60341,0.11
Q9NWM0,Q6QHF9,0.3
Q9NWM0,P19643,0.04
Q9NWM0,Q8BW75,0.04
Q9NWM0,P21398,0.04
Q9NWM0,Q8NB78,0.11
Q9NWM0,P21397,0.04
P77836,P07650,0.37
P77836,P19971,0.32
P77836,Q5FVR2,0.31
P14410,P70699,0.19
P14410,Q8BVW0,0.08
P14410,P23739,0.75
P14410,Q8TET4,0.08
P14410,Q14697,0.07
P14410,O43451,0.6
P14410,P31434,0.03
P14410,P56526,0.06
P14410,Q6P7A9,0.19
P14410,Q9MYM4,0.19
P14410,P10253,0.19
P11759,P0C0F4,0.13
P11759,O60701,0.14
P00327,P40394,0.74
P00327,P00328,0.97
P00327,Q08257,0.06
P00327,P27867,0.13
P00327,P00326,0.9
P00327,P00325,0.89
P00327,P14941,0.11
P00327,P08319,0.61
P00327,P42328,0.17
P00327,P07327,0.88
P00327,P11766,0.62
P00327,Q00796,0.12
P60723,P60725,1
P60723,P44345,0.86
P60723,P38516,0.28
Q15759,P16277,0.11
Q15759,Q8TD19,0.11
Q15759,Q9UKE5,0.12
Q15759,P16092,0.11
Q15759,P49761,0.13
Q15759,P21709,0.08
Q15759,P51955,0.12
Q15759,P53671,0.08
Q15759,Q15208,0.09
Q15759,P35991,0.09
Q15759,O35491,0.12
Q15759,P25098,0.1
Q15759,P41240,0.09
Q15759,P53667,0.09
Q15759,P29678,0.1
Q15759,Q9UL54,0.12
Q15759,Q08345,0.08
Q15759,Q00342,0.07
Q15759,Q00534,0.21
Q15759,Q9UEW8,0.11
Q15759,O15075,0.13
Q15759,Q9NYL2,0.1
Q15759,Q96GD4,0.11
Q15759,Q7KZI7,0.12
Q15759,Q13233,0.12
Q15759,Q78DX7,0.06
Q15759,O14936,0.1
Q15759,P04409,0.09
Q15759,Q96PY6,0.11
Q15759,P00530,0.1
Q15759,Q61214,0.14
Q15759,P14234,0.1
Q15759,Q15831,0.12
Q15759,Q04912,0.09
Q15759,O70126,0.12
Q15759,P04626,0.08
Q15759,Q9P289,0.11
Q15759,Q04759,0.12
Q15759,Q8IWQ3,0.12
Q15759,Q63470,0.14
Q15759,P49840,0.21
Q15759,P45985,0.08
Q15759,A9UF02,0.09
Q15759,P54763,0.1
Q15759,Q06806,0.08
Q15759,P42681,0.1
Q15759,O19175,0.06
Q15759,Q13873,0.07
Q15759,Q03137,0.08
Q15759,P33981,0.1
Q15759,P19784,0.17
Q15759,P35590,0.08
Q15759,Q9Y4K4,0.1
Q15759,Q6ZN16,0.12
Q15759,Q16832,0.08
Q15759,P22612,0.12
Q15759,P00523,0.1
Q15759,P09216,0.08
Q15759,P51813,0.09
Q15759,P47811,0.77
Q15759,O35492,0.13
Q15759,Q96PF2,0.13
Q15759,P14616,0.07
Q15759,O14965,0.13
Q15759,P07948,0.11
Q15759,Q62868,0.1
Q15759,P06213,0.07
Q15759,Q13976,0.1
Q15759,Q9UQM7,0.12
Q15759,P27037,0.08
Q15759,P28867,0.1
Q15759,Q80XI6,0.1
Q15759,Q96BR1,0.11
Q15759,P00517,0.11
Q15759,P53779,0.45
Q15759,Q2M2I8,0.07
Q15759,P11275,0.12
Q15759,O94804,0.09
Q15759,Q9UQB9,0.12
Q15759,P16234,0.07
Q15759,P52332,0.09
Q15759,P97477,0.14
Q15759,Q64725,0.08
Q15759,P68403,0.1
Q15759,Q9H2G2,0.09
Q15759,Q07002,0.2
Q15759,O75914,0.14
Q15759,P50750,0.2
Q15759,P04629,0.07
Q15759,P07949,0.08
Q15759,P52564,0.1
Q15759,P15208,0.07
Q15759,Q9UHD2,0.08
Q15759,O14578,0.08
Q15759,Q9H3Y6,0.09
Q15759,Q6P3R8,0.12
Q15759,Q9P2K8,0.09
Q15759,Q8IYT8,0.13
Q15759,Q99683,0.13
Q15759,O15530,0.11
Q15759,Q01279,0.07
Q15759,P00546,0.24
Q15759,P35916,0.07
Q15759,Q9UPE1,0.07
Q15759,P17252,0.09
Q15759,P51451,0.11
Q15759,Q16584,0.1
Q15759,Q02111,0.12
Q15759,Q8IW41,0.08
Q15759,P54760,0.09
Q15759,P53355,0.11
Q15759,P52333,0.08
Q15759,P41743,0.1
Q15759,O14733,0.08
Q15759,Q05030,0.07
Q15759,Q9UIK4,0.12
Q15759,Q9UK32,0.13
Q15759,Q9WUD9,0.1
Q15759,P21803,0.11
Q15759,O14757,0.11
Q15759,Q9Y2H1,0.09
Q15759,Q86YV6,0.12
Q15759,P07332,0.1
Q15759,P35626,0.1
Q15759,O15111,0.12
Q15759,Q13188,0.11
Q15759,Q03142,0.09
Q15759,P11799,0.1
Q15759,Q9NSY1,0.07
Q15759,Q06418,0.07
Q15759,P43057,0.1
Q15759,P11362,0.11
Q15759,P30291,0.06
Q15759,P05480,0.1
Q15759,P49138,0.09
Q15759,P16056,0.08
Q15759,Q96Q40,0.2
Q15759,Q15418,0.14
Q15759,Q9UQ88,0.21
Q15759,Q92918,0.11
Q15759,Q8IVW4,0.21
Q15759,P68400,0.16
Q15759,Q8N568,0.11
Q15759,Q9NY57,0.12
Q15759,Q96SB4,0.07
Q15759,Q9H422,0.14
Q15759,O75716,0.08
Q15759,P53350,0.13
Q15759,Q62137,0.07
Q15759,P34947,0.11
Q15759,Q13464,0.09
Q15759,Q6DE08,0.11
Q15759,P31152,0.27
Q15759,Q8IU85,0.12
Q15759,Q9BXA7,0.12
Q15759,P11440,0.22
Q15759,Q02779,0.09
Q15759,Q16816,0.12
Q15759,Q9WTU6,0.45
Q15759,Q9BYT3,0.13
Q15759,Q02858,0.08
Q15759,P49185,0.45
Q15759,O96017,0.15
Q15759,Q15746,0.1
Q15759,Q00537,0.21
Q15759,Q9Y2U5,0.11
Q15759,P15127,0.07
Q15759,P54645,0.12
Q15759,P49187,0.45
Q15759,Q9HBY8,0.1
Q15759,P06241,0.11
Q15759,Q8IY84,0.11
Q15759,P08069,0.06
Q15759,O43283,0.1
Q15759,Q5VT25,0.08
Q15759,Q07912,0.06
Q15759,Q63644,0.1
Q15759,Q05513,0.1
Q15759,Q7L7X3,0.13
Q15759,Q13131,0.12
Q15759,P00516,0.1
Q15759,P63318,0.1
Q15759,Q14680,0.11
Q15759,Q62190,0.09
Q15759,O95835,0.09
Q15759,P42680,0.09
Q15759,Q9BWU1,0.17
Q15759,P31938,0.1
Q15759,Q06187,0.09
Q15759,Q8BTH8,0.06
Q15759,P27361,0.43
Q15759,P04049,0.09
Q15759,P09769,0.1
Q15759,P36894,0.09
Q15759,Q9P0L2,0.12
Q15759,P05622,0.07
Q15759,P32577,0.09
Q15759,Q9UPZ9,0.23
Q15759,Q9HCP0,0.06
Q15759,Q9Y463,0.15
Q15759,Q8NE63,0.14
Q15759,Q8TDC3,0.12
Q15759,P54762,0.09
Q15759,P05696,0.09
Q15759,P80192,0.11
Q15759,P10721,0.07
Q15759,P43403,0.08
Q15759,Q8NG66,0.1
Q15759,Q62120,0.09
Q15759,P48729,0.07
Q15759,Q9H1R3,0.11
Q15759,P25911,0.11
Q15759,Q64729,0.06
Q15759,P49760,0.12
Q15759,P43404,0.08
Q15759,Q00536,0.21
Q15759,Q07785,0.24
Q15759,P09619,0.07
Q15759,Q56UN5,0.12
Q15759,Q9H2K8,0.11
Q15759,P49841,0.22
Q15759,Q16539,0.77
Q15759,Q9WUN2,0.08
Q15759,Q9Y6R4,0.1
Q15759,Q9P1W9,0.08
Q15759,Q8IVH8,0.1
Q15759,Q13554,0.12
Q15759,Q9H093,0.12
Q15759,P24723,0.09
Q15759,Q75ZY9,0.08
Q15759,Q13043,0.11
Q15759,P0C264,0.06
Q15759,O14976,0.08
Q15759,Q9UKI8,0.09
Q15759,Q3U3Q1,0.12
Q15759,O43318,0.09
Q15759,Q6DT37,0.08
Q15759,O60307,0.09
Q15759,O15264,0.61
Q15759,Q9Y6M4,0.07
Q15759,P11309,0.1
Q15759,Q07014,0.11
Q15759,Q8BK63,0.07
Q15759,O75385,0.14
Q15759,O00141,0.11
Q15759,P16591,0.09
Q15759,Q6PHR2,0.12
Q15759,P20786,0.07
Q15759,Q13882,0.12
Q15759,Q05397,0.08
Q15759,Q13153,0.14
Q15759,Q9NRM7,0.09
Q15759,Q14012,0.13
Q15759,P35968,0.08
Q15759,Q9HC98,0.11
Q15759,Q9Y243,0.11
Q15759,Q16566,0.11
Q15759,P29323,0.1
Q15759,Q13705,0.08
Q15759,P05771,0.1
Q15759,P68404,0.1
Q15759,P50613,0.24
Q15759,O75582,0.12
Q15759,O94768,0.1
Q15759,P49759,0.14
Q15759,Q9NRP7,0.14
Q15759,P21802,0.11
Q15759,Q8TD08,0.32
Q15759,P9WI81,0.1
Q15759,Q13164,0.43
Q15759,Q13555,0.12
Q15759,P36896,0.07
Q15759,Q8TDX7,0.1
Q15759,Q9BQI3,0.08
Q15759,O75460,0.08
Q15759,P09217,0.1
Q15759,Q9NR20,0.17
Q15759,P42679,0.09
Q15759,Q14164,0.08
Q15759,P11802,0.2
Q15759,Q16513,0.09
Q15759,P24941,0.25
Q15759,P05132,0.11
Q15759,Q9NWZ3,0.08
Q15759,Q8N4C8,0.12
Q15759,P49336,0.16
Q15759,P45984,0.44
Q15759,P22518,0.15
Q15759,P36888,0.07
Q15759,P00521,0.1
Q15759,P07947,0.1
Q15759,Q9NYY3,0.11
Q15759,P05532,0.07
Q15759,Q05655,0.1
Q15759,P53778,0.66
Q15759,P06494,0.08
Q15759,P00519,0.1
Q15759,O14920,0.11
Q15759,Q00526,0.26
Q15759,P54753,0.09
Q15759,P31751,0.1
Q15759,Q15569,0.09
Q15759,Q923T9,0.12
Q15759,Q4JIM5,0.09
Q15759,P11798,0.12
Q15759,P78368,0.07
Q15759,P57059,0.12
Q15759,Q9H4A3,0.08
Q15759,Q9BYP7,0.08
Q15759,Q8N5S9,0.12
Q15759,P06239,0.1
Q15759,Q61851,0.1
Q15759,Q14289,0.07
Q15759,P63185,0.1
Q15759,Q9Y6E0,0.1
Q15759,P19139,0.16
Q15759,P17612,0.11
Q15759,P19525,0.09
Q15759,Q8WTQ7,0.1
Q15759,Q99759,0.11
Q15759,Q12866,0.07
Q15759,P97504,0.09
Q15759,P27791,0.11
Q15759,Q9H2X6,0.15
Q15759,Q00535,0.23
Q15759,Q02156,0.08
Q15759,Q6P6U0,0.1
Q15759,O88351,0.11
Q15759,Q86UE8,0.1
Q15759,P22607,0.1
Q15759,P28652,0.12
Q15759,P43250,0.09
Q15759,O75116,0.1
Q15759,P36897,0.06
Q15759,P54756,0.09
Q15759,P20444,0.1
Q15759,Q92772,0.21
Q15759,Q13237,0.11
Q15759,Q96NX5,0.12
Q15759,O00506,0.11
Q15759,P35969,0.08
Q15759,P12931,0.1
Q15759,P32298,0.1
Q15759,Q9JI10,0.11
Q15759,P37023,0.06
Q15759,Q9NZJ5,0.09
Q15759,P45983,0.45
Q15759,P09215,0.1
Q15759,P22455,0.1
Q15759,P00520,0.1
Q15759,P18654,0.13
Q15759,P00524,0.1
Q15759,Q5GIT4,0.08
Q15759,Q02750,0.1
Q15759,Q9BUB5,0.09
Q15759,P46734,0.1
Q15759,O95819,0.11
Q15759,P16054,0.08
Q15759,P41241,0.09
Q15759,Q9P286,0.14
Q15759,Q59H18,0.08
Q15759,Q15139,0.11
Q15759,Q09137,0.11
Q15759,P23443,0.12
Q15759,P51136,0.23
Q15759,Q08881,0.08
Q15759,O43293,0.12
Q15759,P22694,0.11
Q15759,P29319,0.09
Q15759,P54764,0.08
Q15759,Q9HBH9,0.1
Q15759,Q9WV60,0.22
Q15759,P27448,0.12
Q15759,Q8N752,0.06
Q15759,Q9C098,0.12
Q15759,Q8NEV4,0.1
Q15759,Q9H4B4,0.13
Q15759,P06240,0.1
Q15759,Q9UF33,0.09
Q15759,P43405,0.08
Q15759,Q16659,0.27
Q15759,Q8WXR4,0.1
Q15759,Q86UX6,0.12
Q15759,Q13627,0.14
Q15759,P00533,0.07
Q15759,Q86V86,0.08
Q15759,O00444,0.12
Q15759,Q99640,0.09
Q15759,O94806,0.11
Q15759,Q9WTQ0,0.12
Q15759,O43781,0.21
Q15759,P63086,0.43
Q15759,Q16644,0.08
Q15759,Q86Z02,0.16
Q15759,Q9BZL6,0.12
Q15759,P08631,0.1
Q15759,P05131,0.11
Q15759,Q64617,0.09
Q15759,Q15375,0.09
Q15759,P21127,0.21
Q15759,P63085,0.43
Q15759,Q81ZY9,0.08
Q15759,Q15349,0.13
Q15759,Q13177,0.14
Q15759,P35546,0.08
Q15759,P49137,0.09
Q15759,O43353,0.06
Q15759,Q9WUI1,0.97
Q15759,P29320,0.09
Q15759,Q9HAZ1,0.13
Q15759,Q9R117,0.08
Q15759,P35917,0.07
Q15759,Q02763,0.08
Q15759,Q04771,0.08
Q15759,Q9UBS0,0.11
Q15759,Q99558,0.08
Q15759,Q16288,0.07
Q15759,Q9NQU5,0.14
Q15759,P40231,0.18
Q15759,P68181,0.11
Q15759,P15056,0.1
Q15759,Q12851,0.1
Q15759,O95747,0.12
Q15759,P51812,0.13
Q15759,Q9UBE8,0.34
Q15759,P35918,0.07
Q15759,P78362,0.07
Q15759,P63319,0.1
Q15759,P26618,0.07
Q15759,Q5S007,0.09
Q15759,P36507,0.11
Q15759,Q15303,0.07
Q15759,O00238,0.08
Q15759,Q92630,0.18
Q15759,Q96RG2,0.1
Q15759,P08581,0.08
Q15759,P37173,0.08
Q15759,Q13546,0.09
Q15759,Q13163,0.09
Q15759,Q16512,0.08
Q15759,P31749,0.09
Q15759,O60285,0.13
Q15759,P42685,0.08
Q15759,P06493,0.23
Q15759,O75676,0.1
Q15759,Q15835,0.09
Q15759,Q96L34,0.12
Q15759,Q9H0K1,0.12
Q15759,Q9UEE5,0.1
Q15759,O35493,0.13
Q15759,Q96RR4,0.12
Q15759,O96013,0.13
Q15759,P17157,0.22
Q15759,P23458,0.09
Q15759,P28482,0.42
Q15759,Q9Y5S2,0.08
Q15759,Q59EB3,0.08
Q15759,P29322,0.08
Q15759,P42684,0.09
Q15759,P29597,0.08
Q15759,P51817,0.1
Q15759,O15146,0.07
Q15759,Q9Y3S1,0.08
Q15759,P23298,0.09
Q15759,Q60751,0.07
Q15759,P29317,0.08
Q15759,Q9Y2H9,0.1
Q15759,P31750,0.1
Q15759,Q13557,0.12
Q15759,P30530,0.09
Q15759,P10398,0.1
Q15759,P41279,0.09
Q15759,P17948,0.08
Q15759,O94921,0.2
Q15759,P05129,0.1
Q15759,Q16620,0.08
Q15759,O60674,0.09
Q15759,Q09013,0.07
Q15759,P15735,0.12
Q15759,Q8TDR2,0.08
Q15759,P70618,0.77
Q15759,P54646,0.11
Q5SHN7,P0A7R5,0.56
P02778,P10145,0.2
P02778,P02775,0.24
O14717,P26358,0.07
O14717,P05102,0.09
P41245,Q9H239,0.06
P41245,P11717,0.04
P41245,P08254,0.12
P41245,Q96BH3,0.07
P41245,Q9H306,0.09
P41245,O77656,0.11
P41245,P39900,0.1
P41245,P09238,0.11
P41245,P79227,0.1
P41245,Q8N119,0.03
P41245,O43923,0.06
P41245,P23097,0.11
P41245,P14780,0.67
P41245,P33434,0.34
P41245,P24347,0.1
P41245,P50281,0.08
P41245,P22894,0.09
P41245,P45452,0.11
P41245,O60882,0.1
P41245,P34960,0.1
P41245,P09237,0.09
P41245,Q99542,0.06
P41245,Q63341,0.1
P41245,Q9Y5R2,0.08
P41245,Q9NRE1,0.07
P41245,P33436,0.34
P41245,P03956,0.1
P41245,P51511,0.08
P41245,O75900,0.05
P41245,Q9ULZ9,0.08
P41245,P08253,0.39
P41245,P00748,0.04
P41245,P51512,0.09
P41245,Q9NPA2,0.07
P46063,Q14191,0.19
P46063,P54132,0.28
P46063,P15043,0.22
P12915,P04936,0.43
P12915,P06210,0.53
P12915,P03303,0.48
P12915,P03313,0.56
P12915,Q71LY2,0.53
P12915,Q66282,0.56
P12915,P08617,0.06
P12915,P13900,0.56
P12915,P21404,0.56
P12915,P03302,0.53
P12915,P22055,0.52
P12915,P06441,0.06
P12915,P29813,0.55
P12915,O91734,0.56
P12915,Q82122,0.45
P12915,Q8V397,0.6
P12915,P03300,0.53
P12915,P23008,0.45
P12915,P13901,0.06
Q7MUW6,P97321,0.12
Q7MUW6,Q9X6R4,0.03
Q7MUW6,P27487,0.11
Q7MUW6,Q12884,0.11
Q7MUW6,P19205,0.04
Q7MUW6,P81425,0.11
Q7MUW6,Q86TI2,0.12
Q7MUW6,Q6V1X1,0.13
Q7MUW6,P14740,0.1
Q7MUW6,P46101,0.11
Q7MUW6,P28843,0.1
Q7MUW6,P22411,0.12
P00441,P08294,0.33
Q99527,P41231,0.1
Q99527,P37288,0.07
Q99527,P18825,0.07
Q99527,Q9H1C0,0.11
Q99527,P29276,0.06
Q99527,Q9H244,0.09
Q99527,P51582,0.1
Q99527,Q16581,0.08
Q99527,P21462,0.1
Q99527,P15823,0.07
Q99527,Q6Y1R5,0.12
Q99527,P18841,0.07
Q99527,P08485,0.06
Q99527,P21761,0.06
Q99527,P28647,0.06
Q99527,P46663,0.11
Q99527,P32248,0.1
Q99527,P25024,0.15
Q99527,P35346,0.14
Q99527,O08726,0.11
Q99527,P10608,0.08
Q99527,P22909,0.06
Q99527,O54814,0.14
Q99527,P51680,0.15
Q99527,P41146,0.12
Q99527,P18130,0.08
Q99527,P50391,0.07
Q99527,P08483,0.06
Q99527,P30873,0.12
Q99527,Q00788,0.06
Q99527,Q01338,0.06
Q99527,P49652,0.12
Q99527,O60755,0.12
Q99527,P08911,0.06
Q99527,P51685,0.15
Q99527,P41144,0.15
Q99527,P25021,0.06
Q99527,P49019,0.08
Q99527,P46092,0.06
Q99527,P30968,0.08
Q99527,P30543,0.07
Q99527,P49682,0.12
Q99527,P48748,0.13
Q99527,P19328,0.06
Q99527,Q924U1,0.1
Q99527,P35344,0.16
Q99527,P30555,0.16
Q99527,O43614,0.07
Q99527,O55193,0.14
Q99527,Q92847,0.1
Q99527,Q9BXA5,0.1
Q99527,Q6XKD3,0.08
Q99527,P48145,0.11
Q99527,Q920H4,0.06
Q99527,P51050,0.08
Q99527,P51683,0.14
Q99527,P08908,0.06
Q99527,Q75Z89,0.07
Q99527,P56481,0.07
Q99527,P55085,0.1
Q99527,O77700,0.06
Q99527,P16177,0.08
Q99527,Q9BDQ5,0.12
Q99527,P32246,0.16
Q99527,P51679,0.15
Q99527,P79291,0.08
Q99527,P28336,0.08
Q99527,P25100,0.07
Q99527,P30874,0.12
Q99527,P29275,0.07
Q99527,P48039,0.09
Q99527,P33534,0.15
Q99527,P04274,0.08
Q99527,P51677,0.12
Q99527,Q8TDS5,0.08
Q99527,P19327,0.06
Q99527,P70536,0.08
Q99527,Q969F8,0.09
Q99527,Q28044,0.07
Q99527,P30872,0.12
Q99527,P30556,0.16
Q99527,Q96P68,0.11
Q99527,O70526,0.13
Q99527,Q96LB2,0.06
Q99527,P51681,0.13
Q99527,P49288,0.09
Q99527,P22086,0.07
Q99527,P16610,0.08
Q99527,P34981,0.06
Q99527,P97583,0.12
Q99527,P35363,0.07
Q99527,Q9EPX4,0.09
Q99527,P25025,0.14
Q99527,P32238,0.09
Q99527,Q9Y271,0.13
Q99527,P35351,0.12
Q99527,P08173,0.07
Q99527,Q8K418,0.1
Q99527,O95136,0.06
Q99527,P21730,0.12
Q99527,Q64264,0.06
Q99527,P30935,0.1
Q99527,P32745,0.1
Q99527,Q9HC97,0.1
Q99527,P08482,0.06
Q99527,P46616,0.06
Q99527,P12657,0.06
Q99527,P35367,0.06
Q99527,P51678,0.15
Q99527,Q9JII9,0.11
Q99527,Q8MJ89,0.13
Q99527,Q9WV26,0.16
Q99527,Q99P50,0.1
Q99527,Q3BCU0,0.11
Q99527,P32239,0.07
Q99527,P47747,0.07
Q99527,P21451,0.08
Q99527,P35370,0.13
Q99527,Q64077,0.09
Q99527,P08913,0.06
Q99527,Q8VIH9,0.06
Q99527,Q5DUB1,0.06
Q99527,P32211,0.07
Q99527,P33766,0.11
Q99527,P30553,0.07
Q99527,P21729,0.09
Q99527,P29274,0.06
Q99527,P30548,0.06
Q99527,Q01337,0.07
Q99527,P25106,0.14
Q99527,P46002,0.09
Q99527,Q969V1,0.1
Q99527,Q9ESG6,0.09
Q99527,P21728,0.06
Q99527,O43603,0.12
Q99527,P79350,0.12
Q99527,P49285,0.09
Q99527,P41597,0.14
Q99527,P14842,0.07
Q99527,Q6IYF9,0.11
Q99527,Q9UKP6,0.09
Q99527,P35463,0.08
Q99527,P21556,0.09
Q99527,P30559,0.08
Q99527,P29089,0.16
Q99527,Q99705,0.13
Q99527,Q13304,0.13
Q99527,Q15722,0.06
Q99527,P41143,0.12
Q99527,P33533,0.12
Q99527,Q96P65,0.07
Q99527,P07550,0.07
Q99527,P30969,0.06
Q99527,P30411,0.13
Q99527,P35372,0.12
Q99527,O15552,0.06
Q99527,P50052,0.12
Q99527,P30875,0.11
Q99527,O08786,0.07
Q99527,P31391,0.13
Q99527,P31389,0.06
Q99527,P32302,0.12
Q99527,Q2NNR5,0.15
Q99527,P25116,0.08
Q99527,P25105,0.08
Q99527,Q63931,0.07
Q99527,Q80Z39,0.08
Q99527,P13945,0.06
Q99527,P97639,0.13
Q99527,Q5KSK8,0.09
Q99527,Q8TDS4,0.08
Q99527,Q3U6B2,0.13
Q99527,P49660,0.15
Q99527,Q01727,0.06
Q99527,P49146,0.06
Q99527,O54798,0.09
Q99527,P30545,0.06
Q99527,P43140,0.08
Q99527,P54833,0.07
Q99527,P35383,0.08
Q99527,P28223,0.07
Q99527,Q15077,0.09
Q99527,P25929,0.09
Q99527,O88410,0.11
Q99527,Q95254,0.11
Q99527,Q9BDS8,0.12
Q99527,Q9Y5Y4,0.07
Q99527,P49681,0.1
Q99527,P30098,0.07
Q99527,Q9Y2T6,0.09
Q99527,Q8TCW9,0.07
Q99527,P30552,0.08
Q99527,Q14330,0.08
Q99527,P30680,0.11
Q99527,P25104,0.16
Q99527,Q9EP66,0.07
Q99527,P21452,0.09
Q99527,P11229,0.06
Q99527,P42866,0.12
Q99527,Q1ZY22,0.14
Q99527,P23945,0.06
Q99527,P61073,0.14
Q99527,P35377,0.13
Q99527,Q9Z2J6,0.08
Q99527,Q7TQN9,0.06
Q99527,P32247,0.1
Q99527,O08725,0.1
Q99527,P35348,0.08
Q99527,P08100,0.08
Q99527,Q01717,0.06
Q99527,P32300,0.12
Q99527,O08565,0.13
Q99527,P69332,0.14
Q99527,P51684,0.14
Q99527,P48302,0.08
Q99527,P25103,0.06
Q99527,P30550,0.06
Q99527,P47901,0.07
Q99527,P26255,0.07
Q99527,Q8K4Z4,0.07
Q99527,P25115,0.07
Q99527,P34976,0.16
Q99527,P34975,0.15
Q99527,P61814,0.13
Q99527,P97520,0.14
Q99527,P25101,0.07
Q99527,O08858,0.11
Q99527,P41145,0.13
Q99527,P35414,0.14
Q99527,P51675,0.14
Q99527,P14600,0.06
Q99527,P30989,0.06
Q99527,P33535,0.12
Q99527,P35368,0.07
Q99527,Q9TT96,0.06
Q99527,Q6W5P4,0.06
Q99527,Q60613,0.07
Q99527,P25095,0.16
Q99527,P48974,0.07
Q99527,O08556,0.14
Q99527,Q63371,0.1
Q99527,P30551,0.07
Q99527,P29371,0.1
Q99527,P51682,0.14
Q99527,Q01726,0.07
Q99527,Q9MYW9,0.13
Q99527,Q8JZL2,0.13
Q99527,P08912,0.06
Q99527,P47900,0.11
Q99527,P49684,0.08
Q99527,P21918,0.07
Q99527,Q62805,0.1
Q99527,Q9NS75,0.15
